date, pm25, pm10, no2
2022/1/9, , 8, 10
2022/1/10, , 9, 8
2022/1/11, , 8, 4
2022/1/12, , 9, 4
2022/1/13, , 7, 4
2022/1/14, , 19, 5
2022/1/15, , 25, 3
2022/1/16, , 8, 6
2022/1/17, , 33, 11
2022/1/18, , 40, 5
2022/1/19, , 7, 5
2022/1/20, , 4, 9
2022/1/21, , 15, 12
2022/1/22, , 30, 9
2022/1/23, , 7, 8
2022/1/24, , 7, 20
2022/1/25, , 19, 10
2022/1/26, , 5, 9
2022/1/27, , 7, 11
2022/1/28, , 17, 8
2022/1/29, , 4, 4
2022/1/30, , 3, 9
2022/1/31, , 18, 14
2022/2/1, , 38, 15
2022/2/2, , 33, 15
2022/2/3, , 12, 10
2022/2/4, , 9, 7
2022/2/5, , 10, 5
2022/2/6, , 12, 13
2022/2/7, , 22, 11
2022/2/8, , 8, 8
2022/2/9, , 16, 9
2022/2/10, , 25, 15
2022/2/11, , 22, 4
2022/2/12, , 15, 3
2022/2/13, , 10, 7
2022/2/14, , 14, 6
2022/2/15, , 14, 7
2022/2/16, , 12, 8
2022/2/17, , 13, 11
2022/2/18, , 24, 8
2022/2/19, , 8, 8
2022/2/20, , 10, 6
2022/2/21, , 4, 16
2022/2/22, , 7, 14
2022/2/23, , 9, 7
2022/2/24, , 7, 17
2022/2/25, , 16, 15
2022/2/26, , 38, 6
2022/2/27, , 26, 11
2022/2/28, , 18, 9
2022/3/1, , 34, 17
2022/3/2, , 27, 12
2022/3/3, , 15, 21
2022/3/4, , 33, 10
2022/3/5, , 24, 11
2022/3/6, , 24, 21
2022/3/7, , 39, 23
2022/3/8, , 63, 16
2022/3/9, , 24, 7
2022/3/10, , 27, 11
2022/3/11, , 26, 17
2022/3/12, , 47, 15
2022/3/13, , 45, 14
2022/3/14, , 56, 13
2022/3/15, , 38, 17
2022/3/16, , 40, 14
2022/3/17, , 40, 9
2022/3/18, , 20, 12
2022/3/19, , 30, 11
2022/3/20, , 37, 11
2022/3/21, , 44, 17
2022/3/22, , 51, 18
2022/3/23, , 46, 21
2022/3/24, , 86, 13
2022/3/25, , 28, 8
2022/3/26, , 40, 9
2022/3/27, , 23, 10
2022/3/28, , 32, 14
2022/3/29, , 23, 18
2022/3/30, , 43, 18
2022/3/31, , 35, 18
2021/10/1, , 11, 9
2021/10/2, , 15, 8
2021/10/3, , 21, 9
2021/10/4, , 22, 9
2021/10/5, , 13, 8
2021/10/6, , 18, 8
2021/10/7, , 13, 7
2021/10/8, , 13, 6
2021/10/9, , 10, 4
2021/10/10, , 11, 9
2021/10/11, , 15, 12
2021/10/12, , 14, 12
2021/10/13, , 14, 10
2021/10/14, , 11, 7
2021/10/15, , 9, 6
2021/10/16, , 5, 10
2021/10/17, , 6, 14
2021/10/18, , 17, 19
2021/10/19, , 20, 7
2021/10/20, , 9, 7
2021/10/21, , 10, 8
2021/10/22, , 6, 10
2021/10/23, , 8, 8
2021/10/24, , 10, 8
2021/10/25, , 15, 8
2021/10/26, , 16, 9
2021/10/27, , 10, 8
2021/10/28, , 9, 8
2021/10/29, , 15, 8
2021/10/30, , 19, 9
2021/10/31, , 23, 11
2021/11/1, , 31, 11
2021/11/2, , 37, 10
2021/11/3, , 27, 12
2021/11/4, , 18, 8
2021/11/5, , 17, 8
2021/11/6, , 11, 7
2021/11/7, , 6, 12
2021/11/8, , 7, 10
2021/11/9, , 7, 7
2021/11/10, , 9, 7
2021/11/11, , 13, 12
2021/11/12, , 22, 13
2021/11/13, , 16, 14
2021/11/14, , 20, 12
2021/11/15, , 30, 8
2021/11/16, , 27, 7
2021/11/17, , 18, 12
2021/11/18, , 21, 10
2021/11/19, , 16, 7
2021/11/20, , 24, 9
2021/11/21, , 19, 12
2021/11/22, , 13, 15
2021/11/23, , 32, 14
2021/11/24, , 17, 12
2021/11/25, , 23, 20
2021/11/26, , 38, 13
2021/11/27, , 11, 10
2021/11/28, , 18, 15
2021/11/29, , 21, 17
2021/11/30, , 13, 17
2021/12/1, , 23, 14
2021/12/2, , 8, 18
2021/12/3, , 12, 19
2021/12/4, , 8, 7
2021/12/5, , 8, 20
2021/12/6, , 16, 34
2021/12/7, , 15, 31
2021/12/8, , 9, 13
2021/12/9, , 9, 10
2021/12/10, , 16, 9
2021/12/11, , 7, 17
2021/12/12, , 13, 11
2021/12/13, , 6, 9
2021/12/14, , 7, 9
2021/12/15, , 6, 9
2021/12/16, , 20, 16
2021/12/17, , 19, 8
2021/12/18, , 9, 5
2021/12/19, , 20, 12
2021/12/20, , 29, 22
2021/12/21, , 16, 24
2021/12/22, , 20, 11
2021/12/23, , 5, 8
2021/12/24, , 2, 8
2021/12/25, , 2, 16
2021/12/26, , 5, 18
2021/12/27, , 7, 18
2021/12/28, , 10, 18
2021/12/29, , 25, 10
2021/12/30, , 13, 9
2021/12/31, , 4, 9
2022/1/1, , 11, 14
2022/1/2, , 13, 12
2021/7/1, , 14, 7
2021/7/2, , 17, 6
2021/7/3, , 16, 8
2021/7/4, , 17, 8
2021/7/5, , 22, 9
2021/7/6, , 17, 14
2021/7/7, , 21, 10
2021/7/8, , 17, 9
2021/7/9, , 19, 7
2021/7/10, , 15, 
2021/7/13, , 83, 6
2021/7/14, , 16, 10
2021/7/15, , 21, 6
2021/7/16, , 16, 5
2021/7/17, , 15, 4
2021/7/18, , 16, 7
2021/7/19, , 10, 6
2021/7/20, , 14, 7
2021/7/21, , 17, 8
2021/7/22, , 17, 7
2021/7/23, , 22, 5
2021/7/24, , 14, 6
2021/7/25, , 11, 7
2021/7/26, , 16, 7
2021/7/27, , 22, 13
2021/7/28, , 22, 8
2021/7/29, , 13, 6
2021/7/30, , 8, 5
2021/7/31, , 9, 5
2021/8/1, , 8, 7
2021/8/2, , 9, 8
2021/8/3, , 11, 11
2021/8/4, , 12, 10
2021/8/5, , 11, 7
2021/8/6, , 9, 5
2021/8/7, , 9, 7
2021/8/8, , 8, 10
2021/8/9, , 20, 9
2021/8/10, , 16, 11
2021/8/11, , 15, 11
2021/8/12, , 21, 9
2021/8/13, , 18, 5
2021/8/14, , 11, 4
2021/8/15, , 7, 8
2021/8/16, , 12, 12
2021/8/17, , 11, 9
2021/8/18, , 10, 8
2021/8/19, , 6, 9
2021/8/20, , 9, 9
2021/8/21, , 7, 10
2021/8/22, , 11, 9
2021/8/23, , 15, 10
2021/8/24, , 17, 6
2021/8/25, , 11, 5
2021/8/26, , 6, 3
2021/8/27, , 6, 3
2021/8/28, , 10, 4
2021/8/29, , 12, 7
2021/8/30, , 15, 9
2021/8/31, , 16, 9
2021/9/1, , 16, 9
2021/9/2, , 12, 8
2021/9/3, , 11, 9
2021/9/4, , 9, 11
2021/9/5, , 11, 10
2021/9/6, , 17, 9
2021/9/7, , 22, 9
2021/9/8, , 15, 12
2021/9/9, , 23, 8
2021/9/10, , 21, 8
2021/9/11, , 14, 6
2021/9/12, , 10, 8
2021/9/13, , 11, 16
2021/9/14, , 17, 8
2021/9/15, , 12, 7
2021/9/16, , 11, 3
2021/9/17, , 9, 3
2021/9/18, , 6, 5
2021/9/19, , 7, 10
2021/9/20, , 15, 18
2021/9/21, , 23, 14
2021/9/22, , 18, 10
2021/9/23, , 12, 7
2021/9/24, , 7, 8
2021/9/25, , 10, 11
2021/9/26, , 10, 12
2021/9/27, , 15, 11
2021/9/28, , 16, 11
2021/9/29, , 23, 8
2021/9/30, , 28, 10
2021/4/1, , 17, 8
2021/4/2, , 17, 4
2021/4/3, , 12, 3
2021/4/4, , 16, 3
2021/4/5, , 14, 5
2021/4/6, , 18, 10
2021/4/7, , 23, 16
2021/4/8, , 35, 5
2021/4/9, , 12, 4
2021/4/10, , 9, 6
2021/4/11, , 16, 11
2021/4/12, , 20, 9
2021/4/13, , 13, 17
2021/4/14, , 24, 17
2021/4/15, , 43, 9
2021/4/16, , 26, 5
2021/4/17, , 11, 5
2021/4/18, , 9, 11
2021/4/19, , 26, 14
2021/4/20, , 27, 14
2021/4/21, , 37, 10
2021/4/22, , 6, 8
2021/4/23, , 12, 5
2021/4/24, , 8, 5
2021/4/25, , 6, 8
2021/4/26, , 11, 11
2021/4/27, , 19, 19
2021/4/28, , 37, 12
2021/4/29, , 22, 14
2021/4/30, , 25, 11
2021/5/1, , 17, 12
2021/5/2, , 17, 16
2021/5/3, , 36, 9
2021/5/4, , 24, 3
2021/5/5, , 2, 7
2021/5/6, , 4, 10
2021/5/7, , 14, 8
2021/5/8, , 16, 9
2021/5/9, , 17, 15
2021/5/10, , 22, 16
2021/5/11, , 34, 17
2021/5/12, , 38, 10
2021/5/13, , 31, 12
2021/5/14, , 27, 10
2021/5/15, , 9, 9
2021/5/16, , 11, 8
2021/5/17, , 11, 14
2021/5/18, , 28, 13
2021/5/19, , 30, 12
2021/5/20, , 20, 12
2021/5/21, , 18, 11
2021/5/22, , 11, 9
2021/5/23, , 13, 9
2021/5/24, , 12, 5
2021/5/25, , 14, 6
2021/5/26, , 4, 8
2021/5/27, , 7, 10
2021/5/28, , 11, 9
2021/5/29, , 15, 14
2021/5/30, , 23, 11
2021/5/31, , 25, 7
2021/6/1, , 16, 8
2021/6/2, , 19, 17
2021/6/3, , 35, 16
2021/6/4, , 28, 10
2021/6/5, , 20, 8
2021/6/6, , 16, 15
2021/6/7, , 28, 15
2021/6/8, , 22, 13
2021/6/9, , 17, 14
2021/6/10, , 16, 10
2021/6/11, , 18, 6
2021/6/12, , 9, 6
2021/6/13, , 7, 6
2021/6/14, , 16, 6
2021/6/15, , 12, 9
2021/6/16, , 19, 11
2021/6/17, , 23, 14
2021/6/18, , 29, 11
2021/6/19, , 23, 10
2021/6/20, , 24, 13
2021/6/21, , 49, 11
2021/6/22, , 34, 10
2021/6/23, , 19, 9
2021/6/24, , 17, 8
2021/6/25, , 13, 6
2021/6/26, , 9, 8
2021/6/27, , 11, 10
2021/6/28, , 18, 13
2021/6/29, , 22, 7
2021/6/30, , 17, 5
2021/1/25, , 17, 15
2021/1/26, , 4, 19
2021/1/27, , 6, 23
2021/1/28, , 6, 11
2021/1/29, , 6, 
2021/2/1, , 8, 20
2021/2/2, , 13, 10
2021/2/3, , 10, 15
2021/2/4, , 7, 17
2021/2/5, , 8, 14
2021/2/6, , 6, 16
2021/2/7, , 5, 22
2021/2/8, , 6, 15
2021/2/9, , 7, 26
2021/2/10, , 12, 21
2021/2/11, , 6, 25
2021/2/12, , 6, 11
2021/2/13, , 11, 13
2021/2/14, , 18, 24
2021/2/15, , 37, 25
2021/2/16, , 24, 7
2021/2/17, , 13, 13
2021/2/18, , 38, 14
2021/2/19, , 19, 6
2021/2/20, , 13, 8
2021/2/21, , 12, 12
2021/2/22, , 14, 9
2021/2/23, , 12, 8
2021/2/24, , 9, 5
2021/2/25, , 14, 6
2021/2/26, , 24, 8
2021/2/27, , 27, 7
2021/2/28, , 37, 15
2021/3/1, , 36, 17
2021/3/2, , 49, 15
2021/3/3, , 28, 12
2021/3/4, , 40, 14
2021/3/5, , 31, 4
2021/3/6, , 23, 3
2021/3/7, , 32, 11
2021/3/8, , 40, 10
2021/3/9, , 22, 11
2021/3/10, , 10, 13
2021/3/11, , 23, 10
2021/3/12, , 7, 7
2021/3/13, , 20, 12
2021/3/14, , 28, 14
2021/3/15, , 51, 15
2021/3/16, , 36, 17
2021/3/17, , 51, 15
2021/3/18, , 43, 9
2021/3/19, , 26, 6
2021/3/20, , 20, 4
2021/3/21, , 17, 12
2021/3/22, , 40, 13
2021/3/23, , 38, 7
2021/3/24, , 22, 8
2021/3/25, , 23, 9
2021/3/26, , 15, 12
2021/3/27, , 30, 8
2021/3/28, , 12, 5
2021/3/29, , 9, 6
2021/3/30, , 14, 15
2021/3/31, , 10, 14
2020/9/30, , 14, 14
2020/7/1, , 17, 7
2020/7/2, , 16, 7
2020/7/3, , 14, 6
2020/7/4, , 9, 7
2020/7/5, , 7, 7
2020/7/6, , 19, 4
2020/7/7, , 9, 5
2020/7/8, , 10, 11
2020/7/9, , 9, 7
2020/7/10, , 13, 9
2020/7/11, , 8, 5
2020/7/12, , 6, 4
2020/7/13, , 9, 8
2020/7/14, , 14, 8
2020/7/15, , 17, 11
2020/7/16, , 15, 9
2020/7/17, , 16, 9
2020/7/18, , 11, 5
2020/7/19, , 15, 6
2020/7/20, , 25, 9
2020/7/21, , 9, 6
2020/7/22, , 9, 5
2020/7/23, , 7, 4
2020/7/24, , 7, 6
2020/7/25, , 8, 6
2020/7/26, , 10, 8
2020/7/27, , 11, 8
2020/7/28, , 13, 11
2020/7/29, , 9, 6
2020/7/30, , 6, 6
2020/7/31, , 8, 5
2020/8/1, , 12, 8
2020/8/2, , 11, 5
2020/8/3, , 11, 8
2020/8/4, , 11, 10
2020/8/5, , 11, 7
2020/8/6, , 13, 9
2020/8/7, , 21, 11
2020/8/8, , 17, 8
2020/8/9, , 14, 6
2020/8/10, , 11, 7
2020/8/11, , 15, 8
2020/8/12, , 15, 10
2020/8/13, , 20, 14
2020/8/14, , 19, 14
2020/8/15, , 18, 11
2020/8/16, , 16, 10
2020/8/17, , 17, 13
2020/8/18, , 20, 14
2020/8/19, , 23, 17
2020/8/20, , 23, 14
2020/8/21, , 23, 14
2020/8/22, , 12, 9
2020/8/23, , 11, 5
2020/8/24, , 11, 10
2020/8/25, , 13, 11
2020/8/26, , 15, 11
2020/8/27, , 12, 11
2020/8/28, , 16, 14
2020/8/29, , 8, 6
2020/8/30, , 7, 8
2020/8/31, , 7, 6
2020/9/1, , 10, 7
2020/9/2, , 15, 9
2020/9/3, , 13, 9
2020/9/4, , 12, 9
2020/9/5, , 11, 5
2020/9/6, , 7, 5
2020/9/7, , 11, 9
2020/9/8, , 8, 6
2020/9/9, , 10, 6
2020/9/10, , 8, 7
2020/9/11, , 10, 9
2020/9/12, , 9, 4
2020/9/13, , 9, 3
2020/9/14, , 7, 7
2020/9/15, , 17, 10
2020/9/16, , 12, 7
2020/9/17, , 10, 5
2020/9/18, , 10, 9
2020/9/19, , 10, 12
2020/9/20, , 8, 7
2020/9/21, , 10, 7
2020/9/22, , 12, 10
2020/9/23, , 22, 14
2020/9/24, , 28, 17
2020/9/25, , 16, 9
2020/9/26, , 25, 6
2020/9/27, , 30, 5
2020/9/28, , 38, 7
2020/9/29, , 19, 9
2020/4/1, , 32, 7
2020/4/2, , 32, 5
2020/4/3, , 24, 8
2020/4/4, , 20, 9
2020/4/5, , 24, 10
2020/4/6, , 33, 14
2020/4/7, , 30, 9
2020/4/8, , 28, 11
2020/4/9, , 26, 7
2020/4/10, , 17, 7
2020/4/11, , 17, 3
2020/4/12, , 12, 3
2020/4/13, , 15, 6
2020/4/14, , 20, 10
2020/4/15, , 21, 6
2020/4/16, , 22, 9
2020/4/17, , 19, 7
2020/4/18, , 11, 8
2020/4/19, , 15, 16
2020/4/20, , 29, 17
2020/4/21, , 25, 14
2020/4/22, , 26, 16
2020/4/23, , 33, 13
2020/4/24, , 25, 9
2020/4/25, , 14, 7
2020/4/26, , 13, 10
2020/4/27, , 24, 6
2020/4/28, , 6, 15
2020/4/29, , 27, 14
2020/4/30, , 24, 9
2020/5/1, , 12, 8
2020/5/2, , 12, 8
2020/5/3, , 13, 12
2020/5/4, , 12, 13
2020/5/5, , 21, 17
2020/5/6, , 29, 12
2020/5/7, , 23, 9
2020/5/8, , 23, 7
2020/5/9, , 15, 7
2020/5/10, , 18, 6
2020/5/11, , 11, 12
2020/5/12, , 16, 11
2020/5/13, , 9, 15
2020/5/14, , 18, 11
2020/5/15, , 15, 6
2020/5/16, , 11, 5
2020/5/17, , 11, 12
2020/5/18, , 18, 13
2020/5/19, , 20, 13
2020/5/20, , 19, 11
2020/5/21, , 16, 11
2020/5/22, , 22, 11
2020/5/23, , 16, 7
2020/5/24, , 16, 9
2020/5/25, , 20, 15
2020/5/26, , 25, 11
2020/5/27, , 24, 11
2020/5/28, , 16, 11
2020/5/29, , 19, 6
2020/5/30, , 13, 4
2020/5/31, , 12, 13
2020/6/1, , 26, 8
2020/6/2, , 24, 7
2020/6/3, , 19, 7
2020/6/4, , 21, 7
2020/6/5, , 16, 6
2020/6/6, , 8, 5
2020/6/7, , 10, 15
2020/6/8, , 21, 13
2020/6/9, , 21, 9
2020/6/10, , 16, 8
2020/6/11, , 16, 5
2020/6/12, , 15, 3
2020/6/13, , 11, 5
2020/6/14, , 13, 12
2020/6/15, , 24, 16
2020/6/16, , 19, 15
2020/6/17, , 16, 14
2020/6/18, , 18, 6
2020/6/19, , 13, 2
2020/6/20, , 12, 
2020/6/22, , 18, 14
2020/6/23, , 21, 14
2020/6/24, , 26, 15
2020/6/25, , 24, 11
2020/6/26, , 23, 10
2020/6/27, , 21, 9
2020/6/28, , 24, 12
2020/6/29, , 16, 10
2020/6/30, , 18, 8
2020/1/1, , 17, 5
2020/1/2, , 25, 5
2020/1/3, , 26, 5
2020/1/4, , 36, 8
2020/1/5, , 33, 8
2020/1/6, , 7, 9
2020/1/7, , 10, 6
2020/1/8, , 28, 19
2020/1/9, , 43, 25
2020/1/10, , 29, 9
2020/1/11, , 20, 6
2020/1/12, , 12, 14
2020/1/13, , 11, 10
2020/1/14, , 15, 8
2020/1/15, , 12, 10
2020/1/16, , 33, 10
2020/1/17, , 28, 7
2020/1/18, , 18, 10
2020/1/19, , 23, 10
2020/1/20, , 33, 14
2020/1/21, , 44, 16
2020/1/22, , 50, 18
2020/1/23, , 50, 13
2020/1/24, , 22, 14
2020/1/25, , 33, 7
2020/1/26, , 21, 11
2020/1/27, , 31, 11
2020/1/28, , 16, 14
2020/1/29, , 15, 18
2020/1/30, , 16, 11
2020/1/31, , 10, 7
2020/2/1, , 10, 4
2020/2/2, , 14, 22
2020/2/3, , 38, 29
2020/2/4, , 55, 13
2020/2/5, , 35, 26
2020/2/6, , 69, 19
2020/2/7, , 27, 7
2020/2/8, , 9, 5
2020/2/9, , 13, 5
2020/2/10, , 18, 9
2020/2/11, , 32, 8
2020/2/12, , 29, 15
2020/2/13, , 29, 25
2020/2/14, , 54, 7
2020/2/15, , 13, 4
2020/2/16, , 9, 6
2020/2/17, , 27, 7
2020/2/18, , 34, 13
2020/2/19, , 45, 16
2020/2/20, , 43, 7
2020/2/21, , 26, 2
2020/2/22, , 11, 4
2020/2/23, , 24, 16
2020/2/24, , 56, 10
2020/2/25, , 26, 7
2020/2/26, , 28, 15
2020/2/27, , 14, 20
2020/2/28, , 43, 12
2020/2/29, , 18, 6
2020/3/1, , 11, 9
2020/3/2, , 29, 6
2020/3/3, , 11, 8
2020/3/4, , 7, 11
2020/3/5, , 14, 19
2020/3/6, , 33, 19
2020/3/7, , 31, 8
2020/3/8, , 28, 9
2020/3/9, , 36, 13
2020/3/10, , 20, 10
2020/3/11, , 23, 11
2020/3/12, , 20, 12
2020/3/13, , 35, 7
2020/3/14, , 33, 4
2020/3/15, , 24, 12
2020/3/16, , 30, 9
2020/3/17, , 28, 12
2020/3/18, , 17, 10
2020/3/19, , 27, 12
2020/3/20, , 34, 7
2020/3/21, , 26, 11
2020/3/22, , 35, 10
2020/3/23, , 53, 10
2020/3/24, , 46, 11
2020/3/25, , 71, 10
2020/3/26, , 53, 15
2020/3/27, , 40, 8
2020/3/28, , 30, 6
2020/3/29, , 22, 8
2020/3/30, , 25, 11
2020/3/31, , 36, 12
2019/10/1, , 8, 17
2019/10/2, , 11, 13
2019/10/3, , 9, 16
2019/10/4, , 13, 11
2019/10/5, , 12, 15
2019/10/6, , 12, 23
2019/10/7, , 23, 21
2019/10/8, , 34, 16
2019/10/9, , 17, 16
2019/10/10, , 16, 12
2019/10/11, , 14, 9
2019/10/12, , 12, 11
2019/10/13, , 11, 15
2019/10/14, , 10, 13
2019/10/15, , 12, 8
2019/10/16, , 10, 15
2019/10/17, , 12, 13
2019/10/18, , 14, 11
2019/10/19, , 13, 12
2019/10/20, , 12, 16
2019/10/21, , 17, 11
2019/10/22, , 20, 16
2019/10/23, , 21, 14
2019/10/24, , 24, 11
2019/10/25, , 25, 15
2019/10/26, , 11, 14
2019/10/27, , 7, 21
2019/10/28, , 20, 22
2019/10/29, , 28, 25
2019/10/30, , 28, 18
2019/10/31, , 33, 21
2019/11/1, , 32, 19
2019/11/2, , 24, 10
2019/11/3, , 23, 15
2019/11/4, , 25, 15
2019/11/5, , 21, 21
2019/11/6, , 35, 28
2019/11/7, , 40, 15
2019/11/8, , 15, 10
2019/11/9, , 12, 8
2019/11/10, , 7, 18
2019/11/11, , 23, 21
2019/11/12, , 29, 26
2019/11/13, , 22, 17
2019/11/14, , 15, 18
2019/11/15, , 31, 5
2019/11/16, , 22, 7
2019/11/17, , 18, 10
2019/11/18, , 19, 14
2019/11/19, , 27, 9
2019/11/20, , 17, 
2019/11/22, , 28, 
2019/11/24, , 41, 17
2019/11/25, , 48, 16
2019/11/26, , 29, 14
2019/11/27, , 24, 15
2019/11/28, , 17, 15
2019/11/29, , 9, 16
2019/11/30, , 10, 12
2019/12/1, , 6, 27
2019/12/2, , 15, 20
2019/12/3, , 9, 18
2019/12/4, , 9, 11
2019/12/5, , 24, 12
2019/12/6, , 10, 11
2019/12/7, , 10, 10
2019/12/8, , 8, 10
2019/12/9, , 21, 27
2019/12/10, , 13, 12
2019/12/11, , 17, 19
2019/12/12, , 18, 19
2019/12/13, , 19, 13
2019/12/14, , 12, 16
2019/12/15, , 11, 15
2019/12/16, , 17, 15
2019/12/17, , 23, 15
2019/12/18, , 14, 22
2019/12/19, , 12, 16
2019/12/20, , 19, 13
2019/12/21, , 28, 11
2019/12/22, , 13, 26
2019/12/23, , 49, 19
2019/12/24, , 36, 13
2019/12/25, , 16, 9
2019/12/26, , 18, 10
2019/12/27, , 15, 16
2019/12/28, , 11, 5
2019/12/29, , 10, 
2019/7/1, , 19, 12
2019/7/2, , 14, 17
2019/7/3, , 16, 14
2019/7/4, , 16, 10
2019/7/5, , 11, 9
2019/7/6, , 8, 6
2019/7/7, , 9, 8
2019/7/8, , 10, 8
2019/7/9, , 11, 10
2019/7/10, , 13, 12
2019/7/11, , 15, 13
2019/7/12, , 17, 13
2019/7/13, , 13, 14
2019/7/14, , 10, 15
2019/7/15, , 16, 14
2019/7/16, , 11, 19
2019/7/17, , 12, 15
2019/7/18, , 14, 15
2019/7/19, , 14, 11
2019/7/20, , 11, 14
2019/7/21, , 14, 15
2019/7/22, , 15, 12
2019/7/23, , 11, 14
2019/7/24, , 14, 16
2019/7/25, , 16, 10
2019/7/26, , 17, 5
2019/7/27, , 17, 5
2019/7/28, , 17, 5
2019/7/29, , 16, 5
2019/7/30, , 9, 6
2019/7/31, , 11, 7
2019/8/1, , 12, 11
2019/8/2, , 17, 3
2019/8/3, , 12, 6
2019/8/4, , 9, 8
2019/8/5, , 20, 12
2019/8/6, , 17, 8
2019/8/7, , 14, 14
2019/8/8, , 17, 22
2019/8/9, , 19, 14
2019/8/10, , 14, 8
2019/8/11, , 12, 12
2019/8/12, , 15, 10
2019/8/13, , 15, 12
2019/8/14, , 13, 12
2019/8/15, , 14, 16
2019/8/16, , 20, 10
2019/8/17, , 16, 11
2019/8/18, , 15, 10
2019/8/19, , 12, 10
2019/8/20, , 14, 14
2019/8/21, , 15, 11
2019/8/22, , 15, 9
2019/8/23, , 16, 9
2019/8/24, , 16, 9
2019/8/25, , 16, 17
2019/8/26, , 17, 17
2019/8/27, , 24, 20
2019/8/28, , 29, 21
2019/8/29, , 32, 12
2019/8/30, , 19, 9
2019/8/31, , 14, 14
2019/9/1, , 20, 12
2019/9/2, , 15, 10
2019/9/3, , 14, 15
2019/9/4, , 14, 11
2019/9/5, , 15, 12
2019/9/6, , 11, 10
2019/9/7, , 12, 7
2019/9/8, , 14, 14
2019/9/9, , 13, 10
2019/9/10, , 19, 10
2019/9/11, , 20, 6
2019/9/12, , 12, 7
2019/9/13, , 11, 5
2019/9/14, , 8, 6
2019/9/15, , 9, 6
2019/9/16, , 8, 11
2019/9/17, , 9, 11
2019/9/18, , 10, 17
2019/9/19, , 11, 15
2019/9/20, , 14, 10
2019/9/21, , 11, 10
2019/9/22, , 11, 20
2019/9/23, , 12, 17
2019/9/24, , 24, 16
2019/9/25, , 17, 14
2019/9/26, , 14, 12
2019/9/27, , 13, 9
2019/9/28, , 22, 9
2019/9/29, , 14, 13
2019/9/30, , 15, 8
2019/4/1, , 49, 18
2019/4/2, , 67, 30
2019/4/3, , 73, 31
2019/4/4, , 70, 18
2019/4/5, , 67, 22
2019/4/6, , 61, 18
2019/4/7, , 55, 12
2019/4/8, , 26, 14
2019/4/9, , 27, 14
2019/4/10, , 25, 22
2019/4/11, , 27, 27
2019/4/12, , 32, 13
2019/4/13, , 23, 17
2019/4/14, , 26, 34
2019/4/15, , 42, 19
2019/4/16, , 39, 33
2019/4/17, , 50, 34
2019/4/18, , 56, 28
2019/4/19, , 46, 22
2019/4/20, , 34, 16
2019/4/21, , 34, 12
2019/4/22, , 33, 22
2019/4/23, , 39, 20
2019/4/24, , 58, 14
2019/4/25, , 61, 13
2019/4/26, , 47, 8
2019/4/27, , 37, 6
2019/4/28, , 30, 27
2019/4/29, , 36, 24
2019/4/30, , 47, 16
2019/5/1, , 32, 17
2019/5/2, , 12, 20
2019/5/3, , 17, 15
2019/5/4, , 17, 12
2019/5/5, , 14, 17
2019/5/6, , 34, 12
2019/5/7, , 38, 16
2019/5/8, , 34, 20
2019/5/9, , 49, 16
2019/5/10, , 41, 17
2019/5/11, , 27, 13
2019/5/12, , 21, 18
2019/5/13, , 26, 22
2019/5/14, , 37, 18
2019/5/15, , 58, 21
2019/5/16, , 70, 11
2019/5/17, , 38, 8
2019/5/18, , 27, 15
2019/5/19, , 22, 15
2019/5/20, , 36, 15
2019/5/21, , 42, 17
2019/5/22, , 38, 20
2019/5/23, , 29, 19
2019/5/24, , 35, 12
2019/5/25, , 18, 10
2019/5/26, , 11, 17
2019/5/27, , 16, 14
2019/5/28, , 20, 14
2019/5/29, , 28, 10
2019/5/30, , 22, 12
2019/5/31, , 18, 10
2019/6/1, , 15, 10
2019/6/2, , 15, 19
2019/6/3, , 25, 17
2019/6/4, , 25, 22
2019/6/5, , 30, 19
2019/6/6, , 35, 21
2019/6/7, , 34, 14
2019/6/8, , 27, 8
2019/6/9, , 19, 14
2019/6/10, , 18, 18
2019/6/11, , 28, 8
2019/6/12, , 18, 13
2019/6/13, , 22, 16
2019/6/14, , 17, 15
2019/6/15, , 20, 15
2019/6/16, , 22, 14
2019/6/17, , 18, 19
2019/6/18, , 28, 17
2019/6/19, , 28, 21
2019/6/20, , 26, 7
2019/6/21, , 21, 5
2019/6/22, , 10, 8
2019/6/23, , 11, 15
2019/6/24, , 18, 23
2019/6/25, , 25, 26
2019/6/26, , 21, 13
2019/6/27, , 17, 14
2019/6/28, , 14, 12
2019/6/29, , 17, 12
2019/6/30, , 17, 9
2019/1/1, , 8, 10
2019/1/2, , 34, 27
2019/1/3, , 9, 17
2019/1/4, , 15, 17
2019/1/5, , 9, 15
2019/1/6, , 8, 25
2019/1/7, , 8, 28
2019/1/8, , 11, 16
2019/1/9, , 7, 27
2019/1/10, , 11, 18
2019/1/11, , 16, 21
2019/1/12, , 36, 18
2019/1/13, , 33, 18
2019/1/14, , 30, 24
2019/1/15, , 54, 30
2019/1/16, , 47, 19
2019/1/17, , 15, 22
2019/1/18, , 10, 13
2019/1/19, , 10, 20
2019/1/20, , 17, 43
2019/1/21, , 18, 30
2019/1/22, , 19, 27
2019/1/23, , 19, 33
2019/1/24, , 23, 34
2019/1/25, , 25, 30
2019/1/26, , 16, 16
2019/1/27, , 10, 13
2019/1/28, , 14, 24
2019/1/29, , 20, 25
2019/1/30, , 13, 31
2019/1/31, , 18, 7
2019/2/1, , 12, 8
2019/2/2, , 8, 9
2019/2/3, , 7, 25
